0.363,-0.207,3.167,7.383,7.5,2,0.00342,0.00197,0.00018,0.00099
0.363,-0.207,3.167,7.383,22.5,2,0.00099,0.00178,0.00061,0.00074
0.363,-0.207,3.167,7.383,37.5,2,0.00615,0.00173,0.00042,0.00046
0.363,-0.207,3.167,7.383,52.5,2,0.0036,0.00167,0.00083,0.00021
0.363,-0.207,3.167,7.383,67.5,2,0.00604,0.00157,0.00018,0.00057
0.363,-0.207,3.167,7.383,82.5,2,0.00423,0.00145,0.0006,0.00017
0.363,-0.207,3.167,7.383,97.5,2,0.00971,0.00135,0.00029,0.00073
0.363,-0.207,3.167,7.383,112.5,2,0.0049,0.00125,0.00012,0.00031
0.363,-0.207,3.167,7.383,127.5,2,0.00559,0.00123,0.00052,0.00011
0.363,-0.207,3.167,7.383,142.5,2,0.00324,0.00119,0.00052,0.00044
0.363,-0.207,3.167,7.383,157.5,2,0.00069,0.00119,0.0004,0.00046
0.363,-0.207,3.167,7.383,172.5,2,0.00236,0.00123,0.00051,0.00033
0.363,-0.207,3.167,7.383,187.5,2,0.00011,0.00106,0.00016,0.00071
0.363,-0.207,3.167,7.383,202.5,2,-0.00108,0.00114,0.00085,0.00038
0.363,-0.207,3.167,7.383,217.5,2,-0.00305,0.00115,0.00037,0.00062
0.363,-0.207,3.167,7.383,232.5,2,-0.00423,0.00116,0.00027,0.00088
0.363,-0.207,3.167,7.383,247.5,2,-0.00502,0.00128,0.00084,0.00045
0.363,-0.207,3.167,7.383,262.5,2,-0.00707,0.00134,0.00088,0.00012
0.363,-0.207,3.167,7.383,277.5,2,-0.0061,0.0014,0.00047,0.00038
0.363,-0.207,3.167,7.383,292.5,2,-0.00839,0.00158,0.00092,0.00094
0.363,-0.207,3.167,7.383,307.5,2,-0.0079,0.0016,0.00067,0.00144
0.363,-0.207,3.167,7.383,322.5,2,-0.00659,0.00169,0.00132,0.00019
0.363,-0.207,3.167,7.383,337.5,2,-0.00656,0.00174,0.00113,0.00048
0.363,-0.207,3.167,7.383,352.5,2,-0.00025,0.00164,0.00086,0.00036
0.363,-0.293,3.169,7.383,7.5,2,-0.00032,0.00204,0.00063,0.00045
0.363,-0.293,3.169,7.383,22.5,2,0.00001,0.00185,0.00071,0.00072
0.363,-0.293,3.169,7.383,37.5,2,0.00804,0.0017,0.00119,0.00051
0.363,-0.293,3.169,7.383,52.5,2,0.00722,0.0015,0.00093,0.0002
0.363,-0.293,3.169,7.383,67.5,2,0.00657,0.00127,0.00086,0
0.363,-0.293,3.169,7.383,82.5,2,0.00644,0.00113,0.00047,0.00052
0.363,-0.293,3.169,7.383,97.5,2,0.003,0.00103,0.00009,0.00029
0.363,-0.293,3.169,7.383,112.5,2,0.00432,0.00092,0.00035,0.00024
0.363,-0.293,3.169,7.383,127.5,2,0.00352,0.00085,0.00016,0.00036
0.363,-0.293,3.169,7.383,142.5,2,0.00155,0.00084,0.0005,0.0001
0.363,-0.293,3.169,7.383,157.5,2,0.00115,0.00076,0.00013,0.00047
0.363,-0.293,3.169,7.383,172.5,2,0,0.00081,0.00005,0.00028
0.363,-0.293,3.169,7.383,187.5,2,0.00008,0.00076,0.00012,0.00049
0.363,-0.293,3.169,7.383,202.5,2,-0.00057,0.0008,0.00016,0.00037
0.363,-0.293,3.169,7.383,217.5,2,-0.00184,0.00088,0.00019,0.00028
0.363,-0.293,3.169,7.383,232.5,2,-0.00261,0.00092,0.00034,0.00024
0.363,-0.293,3.169,7.383,247.5,2,-0.00433,0.001,0,0.00033
0.363,-0.293,3.169,7.383,262.5,2,-0.00463,0.00108,0.00025,0.00054
0.363,-0.293,3.169,7.383,277.5,2,-0.00364,0.00121,0.00007,0.00069
0.363,-0.293,3.169,7.383,292.5,2,-0.00564,0.00135,0.0004,0.00053
0.363,-0.293,3.169,7.383,307.5,2,-0.00814,0.0015,0.00047,0.00081
0.363,-0.293,3.169,7.383,322.5,2,-0.00535,0.00165,0.0005,0.00008
0.363,-0.293,3.169,7.383,337.5,2,-0.0054,0.00176,0.0004,0.00041
0.363,-0.293,3.169,7.383,352.5,2,0.00031,0.00186,0.00033,0.00102
0.365,-0.379,3.18,7.383,7.5,2,0.00095,0.00295,0.00021,0.00126
0.365,-0.379,3.18,7.383,22.5,2,0.00235,0.0024,0.00043,0.00128
0.365,-0.379,3.18,7.383,37.5,2,0.00469,0.00175,0.00091,0.00015
0.365,-0.379,3.18,7.383,52.5,2,0.00586,0.00143,0.00027,0.0006
0.365,-0.379,3.18,7.383,67.5,2,0.00379,0.00116,0.00046,0.00041
0.365,-0.379,3.18,7.383,82.5,2,0.00352,0.00102,0.00057,0.00003
0.365,-0.379,3.18,7.383,97.5,2,0.00347,0.00089,0.00021,0.00025
0.365,-0.379,3.18,7.383,112.5,2,0.00427,0.0008,0.00009,0.00027
0.365,-0.379,3.18,7.383,127.5,2,0.00154,0.00076,0.0004,0.00018
0.365,-0.379,3.18,7.383,142.5,2,0.00147,0.00072,0.0002,0.00016
0.365,-0.379,3.18,7.383,157.5,2,0.00102,0.00072,0.00017,0.00015
0.365,-0.379,3.18,7.383,172.5,2,-0.00019,0.00075,0.00036,0.00016
0.365,-0.379,3.18,7.383,187.5,2,0.00021,0.00068,0.00028,0.00019
0.365,-0.379,3.18,7.383,202.5,2,-0.00038,0.00077,0.00021,0.00044
0.365,-0.379,3.18,7.383,217.5,2,-0.00056,0.00074,0.00016,0.00038
0.365,-0.379,3.18,7.383,232.5,2,-0.00159,0.00079,0.00015,0.00023
0.365,-0.379,3.18,7.383,247.5,2,-0.0031,0.00087,0.0001,0.00047
0.365,-0.379,3.18,7.383,262.5,2,-0.00297,0.00097,0.00036,0.00016
0.365,-0.379,3.18,7.383,277.5,2,-0.0047,0.00109,0.00052,0.00061
0.365,-0.379,3.18,7.383,292.5,2,-0.00912,0.0013,0.00021,0.00031
0.365,-0.379,3.18,7.383,307.5,2,-0.00793,0.0015,0.00071,0.00066
0.365,-0.379,3.18,7.383,322.5,2,-0.00638,0.00171,0.00075,0.00022
0.365,-0.379,3.18,7.383,337.5,2,-0.00579,0.00221,0.0005,0.00066
0.365,-0.379,3.18,7.383,352.5,2,-0.00337,0.00273,0.00066,0.00137
0.365,-0.465,3.184,7.383,7.5,2,0.00622,0.00615,0.00179,0.00183
0.365,-0.465,3.184,7.383,22.5,2,0.0049,0.00383,0.00177,0.00049
0.365,-0.465,3.184,7.383,37.5,2,0.00315,0.00213,0.00138,0
0.365,-0.465,3.184,7.383,52.5,2,0.00603,0.00147,0.00002,0.00093
0.365,-0.465,3.184,7.383,67.5,2,0.0036,0.00115,0.00044,0.00087
0.365,-0.465,3.184,7.383,82.5,2,0.00316,0.00102,0.0004,0.00017
0.365,-0.465,3.184,7.383,97.5,2,0.00298,0.0009,0.00018,0.00042
0.365,-0.465,3.184,7.383,112.5,2,0.00239,0.00078,0.00022,0.00015
0.365,-0.465,3.184,7.383,127.5,2,0.00154,0.00071,0.00013,0.00019
0.365,-0.465,3.184,7.383,142.5,2,0.00127,0.0007,0.00036,0.00036
0.365,-0.465,3.184,7.383,157.5,2,0.00026,0.00072,0.00027,0.00008
0.365,-0.465,3.184,7.383,172.5,2,0.00069,0.00083,0.00041,0.00016
0.365,-0.465,3.184,7.383,187.5,2,-0.00025,0.00077,0.00046,0.00006
0.365,-0.465,3.184,7.383,202.5,2,-0.00114,0.0008,0.00022,0.00055
0.365,-0.465,3.184,7.383,217.5,2,-0.0011,0.00077,0.00027,0.00029
0.365,-0.465,3.184,7.383,232.5,2,-0.00143,0.00074,0.00028,0.00014
0.365,-0.465,3.184,7.383,247.5,2,-0.00243,0.0008,0.00029,0.00011
0.365,-0.465,3.184,7.383,262.5,2,-0.00166,0.0009,0.00041,0.00036
0.365,-0.465,3.184,7.383,277.5,2,-0.00468,0.00109,0.00035,0.00028
0.365,-0.465,3.184,7.383,292.5,2,-0.00477,0.00127,0.00033,0.00055
0.365,-0.465,3.184,7.383,307.5,2,-0.005,0.00157,0.00068,0.00066
0.365,-0.465,3.184,7.383,322.5,2,-0.00184,0.002,0.00044,0.00097
0.365,-0.465,3.184,7.383,337.5,2,-0.00514,0.00336,0.00186,0.00125
0.365,-0.465,3.184,7.383,352.5,2,0.00291,0.0056,0.00112,0.00357
0.364,-0.581,3.18,7.383,7.5,2,-0.01009,0.0265,0.0008,0.00309
0.364,-0.581,3.18,7.383,22.5,2,0.00438,0.00967,0.00344,0.00084
0.364,-0.581,3.18,7.383,37.5,2,0.00551,0.00249,0.0008,0.00171
0.364,-0.581,3.18,7.383,52.5,2,0.00222,0.00129,0.00038,0.0004
0.364,-0.581,3.18,7.383,67.5,2,0.00325,0.00097,0.00005,0.00046
0.364,-0.581,3.18,7.383,82.5,2,0.00158,0.00084,0.00039,0.00043
0.364,-0.581,3.18,7.383,97.5,2,0.00036,0.00071,0.00018,0.00018
0.364,-0.581,3.18,7.383,112.5,2,0.00088,0.00058,0.00021,0.00029
0.364,-0.581,3.18,7.383,127.5,2,0.00068,0.00049,0.00001,0.0003
0.364,-0.581,3.18,7.383,142.5,2,0.00116,0.00054,0.00009,0.00027
0.364,-0.581,3.18,7.383,157.5,2,0.00095,0.00073,0.00004,0.00033
0.364,-0.581,3.18,7.383,172.5,2,0.00047,0.00087,0.00079,0.00034
0.364,-0.581,3.18,7.383,187.5,2,-0.00023,0.00093,0.00018,0.00033
0.364,-0.581,3.18,7.383,202.5,2,-0.00147,0.00077,0.00053,0.00017
0.364,-0.581,3.18,7.383,217.5,2,-0.00111,0.00059,0.00023,0.00011
0.364,-0.581,3.18,7.383,232.5,2,-0.00032,0.00056,0.00021,0.00026
0.364,-0.581,3.18,7.383,247.5,2,-0.00175,0.00058,0.00047,0
0.364,-0.581,3.18,7.383,262.5,2,-0.0033,0.00076,0.0004,0.00037
0.364,-0.581,3.18,7.383,277.5,2,-0.00259,0.00091,0.0004,0.00029
0.364,-0.581,3.18,7.383,292.5,2,-0.00304,0.00109,0.00026,0.00048
0.364,-0.581,3.18,7.383,307.5,2,-0.004,0.00158,0.0004,0.001
0.364,-0.581,3.18,7.383,322.5,2,-0.004,0.00273,0.00087,0.00101
0.364,-0.581,3.18,7.383,337.5,2,-0.009,0.00876,0.00231,0.00355
0.364,-0.581,3.18,7.383,352.5,2,-0.00109,0.03242,0.00008,0.01435
0.367,-0.197,3.65,8.521,7.5,2,0.00005,0.0008,0.00025,0.00028
0.367,-0.197,3.65,8.521,22.5,2,0.002,0.0009,0.00045,0.0002
0.367,-0.197,3.65,8.521,37.5,2,0.00121,0.00094,0.00035,0.00028
0.367,-0.197,3.65,8.521,52.5,2,0.00251,0.00093,0.00011,0.00037
0.367,-0.197,3.65,8.521,67.5,2,0.00524,0.00093,0.00049,0.00009
0.367,-0.197,3.65,8.521,82.5,2,0.00447,0.00088,0.00069,0.0005
0.367,-0.197,3.65,8.521,97.5,2,0.00504,0.00087,0.00034,0.00061
0.367,-0.197,3.65,8.521,112.5,2,0.00366,0.00083,0.00028,0.00021
0.367,-0.197,3.65,8.521,127.5,2,0.00255,0.0008,0.00024,0.00003
0.367,-0.197,3.65,8.521,142.5,2,0.00211,0.00074,0.00026,0.00045
0.367,-0.197,3.65,8.521,157.5,2,0.0018,0.00069,0.00042,0.0001
0.367,-0.197,3.65,8.521,172.5,2,0.00032,0.00057,0.00032,0.00025
0.367,-0.197,3.65,8.521,187.5,2,-0.00159,0.00108,0.00026,0.00036
0.367,-0.197,3.65,8.521,202.5,2,-0.00077,0.00088,0.00029,0.00002
0.367,-0.197,3.65,8.521,217.5,2,-0.00098,0.00082,0.00023,0.00015
0.367,-0.197,3.65,8.521,232.5,2,-0.00546,0.00086,0.00025,0.00016
0.367,-0.197,3.65,8.521,247.5,2,-0.00248,0.00086,0.00031,0.0003
0.367,-0.197,3.65,8.521,262.5,2,-0.00417,0.00094,0.00028,0.00008
0.367,-0.197,3.65,8.521,277.5,2,-0.00337,0.00099,0.00018,0.00029
0.367,-0.197,3.65,8.521,292.5,2,-0.00476,0.00101,0.00036,0.00023
0.367,-0.197,3.65,8.521,307.5,2,-0.00303,0.00104,0.00029,0.00037
0.367,-0.197,3.65,8.521,322.5,2,-0.00333,0.00112,0.00031,0.00032
0.367,-0.197,3.65,8.521,337.5,2,0.00069,0.00112,0.00033,0.00059
0.367,-0.197,3.65,8.521,352.5,2,0.00406,0.00149,0.00067,0.00048
0.367,-0.258,3.653,8.521,7.5,2,0.00011,0.001,0.00016,0.00029
0.367,-0.258,3.653,8.521,22.5,2,0.00034,0.00105,0.00077,0.00018
0.367,-0.258,3.653,8.521,37.5,2,0.00407,0.00096,0.00047,0.00021
0.367,-0.258,3.653,8.521,52.5,2,0.00455,0.0009,0.00009,0.00045
0.367,-0.258,3.653,8.521,67.5,2,0.00522,0.00085,0.00023,0.0002
0.367,-0.258,3.653,8.521,82.5,2,0.00454,0.00075,0.00014,0.00012
0.367,-0.258,3.653,8.521,97.5,2,0.00418,0.00071,0.00047,0.00012
0.367,-0.258,3.653,8.521,112.5,2,0.00322,0.00063,0.00007,0.00025
0.367,-0.258,3.653,8.521,127.5,2,0.00183,0.00063,0.00032,0.00008
0.367,-0.258,3.653,8.521,142.5,2,0.00216,0.00057,0.00021,0.00027
0.367,-0.258,3.653,8.521,157.5,2,0.00084,0.00051,0.00011,0.00027
0.367,-0.258,3.653,8.521,172.5,2,0.00014,0.00046,0.00019,0.00012
0.367,-0.258,3.653,8.521,187.5,2,-0.0004,0.00065,0.00019,0.00012
0.367,-0.258,3.653,8.521,202.5,2,-0.00087,0.00062,0.00025,0.00005
0.367,-0.258,3.653,8.521,217.5,2,-0.00193,0.00063,0.00005,0.0003
0.367,-0.258,3.653,8.521,232.5,2,-0.00231,0.00064,0.00042,0.00007
0.367,-0.258,3.653,8.521,247.5,2,-0.003,0.00068,0.00032,0.00014
0.367,-0.258,3.653,8.521,262.5,2,-0.00379,0.00072,0.00038,0.00003
0.367,-0.258,3.653,8.521,277.5,2,-0.00247,0.00078,0.00024,0.00036
0.367,-0.258,3.653,8.521,292.5,2,-0.00493,0.00088,0.00032,0.00052
0.367,-0.258,3.653,8.521,307.5,2,-0.00425,0.00094,0.00041,0.00042
0.367,-0.258,3.653,8.521,322.5,2,-0.00365,0.00103,0.00027,0.00044
0.367,-0.258,3.653,8.521,337.5,2,-0.00225,0.0012,0.00035,0.00058
0.367,-0.258,3.653,8.521,352.5,2,-0.00146,0.00137,0.00056,0.00065
0.369,-0.32,3.669,8.521,7.5,2,0.0019,0.0014,0.00029,0.00056
0.369,-0.32,3.669,8.521,22.5,2,0.00465,0.00125,0.00012,0.00051
0.369,-0.32,3.669,8.521,37.5,2,0.00462,0.00104,0.00051,0.00019
0.369,-0.32,3.669,8.521,52.5,2,0.00333,0.00089,0.00025,0.00025
0.369,-0.32,3.669,8.521,67.5,2,0.00431,0.00078,0.00029,0.00027
0.369,-0.32,3.669,8.521,82.5,2,0.00304,0.00068,0.00017,0.00032
0.369,-0.32,3.669,8.521,97.5,2,0.00365,0.00063,0.00021,0.00017
0.369,-0.32,3.669,8.521,112.5,2,0.00195,0.00058,0.00008,0.00018
0.369,-0.32,3.669,8.521,127.5,2,0.00145,0.00053,0.00019,0.00006
0.369,-0.32,3.669,8.521,142.5,2,0.00136,0.00048,0.00032,0.00011
0.369,-0.32,3.669,8.521,157.5,2,0.00129,0.00048,0,0.00019
0.369,-0.32,3.669,8.521,172.5,2,-0.00004,0.00042,0.00015,0.00005
0.369,-0.32,3.669,8.521,187.5,2,-0.00033,0.00057,0.00033,0.00014
0.369,-0.32,3.669,8.521,202.5,2,0.00006,0.00053,0.00014,0.00041
0.369,-0.32,3.669,8.521,217.5,2,-0.0013,0.00054,0.00019,0.00014
0.369,-0.32,3.669,8.521,232.5,2,-0.00188,0.00057,0.00001,0.00034
0.369,-0.32,3.669,8.521,247.5,2,-0.00273,0.00061,0.00014,0.00012
0.369,-0.32,3.669,8.521,262.5,2,-0.00231,0.00066,0.00023,0.00018
0.369,-0.32,3.669,8.521,277.5,2,-0.00352,0.00072,0.00036,0.00015
0.369,-0.32,3.669,8.521,292.5,2,-0.00469,0.00081,0.00031,0.00019
0.369,-0.32,3.669,8.521,307.5,2,-0.00311,0.0009,0.00041,0.00048
0.369,-0.32,3.669,8.521,322.5,2,-0.00403,0.00108,0.00035,0.00031
0.369,-0.32,3.669,8.521,337.5,2,-0.0004,0.0014,0.00046,0.00041
0.369,-0.32,3.669,8.521,352.5,2,-0.00067,0.00182,0.00027,0.00075
0.37,-0.381,3.678,8.521,7.5,2,-0.00223,0.00255,0.00125,0.00084
0.37,-0.381,3.678,8.521,22.5,2,0.00081,0.00186,0.0006,0.00013
0.37,-0.381,3.678,8.521,37.5,2,0.00388,0.00121,0.00121,0.00033
0.37,-0.381,3.678,8.521,52.5,2,0.00257,0.00092,0.00012,0.00024
0.37,-0.381,3.678,8.521,67.5,2,0.00387,0.00078,0.00022,0.00043
0.37,-0.381,3.678,8.521,82.5,2,0.00227,0.00065,0.00035,0.00018
0.37,-0.381,3.678,8.521,97.5,2,0.00212,0.00059,0.00023,0.0002
0.37,-0.381,3.678,8.521,112.5,2,0.00209,0.00051,0.00019,0.00016
0.37,-0.381,3.678,8.521,127.5,2,0.00156,0.00047,0.00009,0.0002
0.37,-0.381,3.678,8.521,142.5,2,0.00147,0.00043,0.00002,0.00011
0.37,-0.381,3.678,8.521,157.5,2,-0.00008,0.00044,0.00004,0.00031
0.37,-0.381,3.678,8.521,172.5,2,0.00033,0.00042,0.00024,0.0001
0.37,-0.381,3.678,8.521,187.5,2,-0.00012,0.00051,0.00019,0.00006
0.37,-0.381,3.678,8.521,202.5,2,-0.00058,0.00048,0.00008,0.00017
0.37,-0.381,3.678,8.521,217.5,2,-0.00139,0.00052,0.00016,0.00014
0.37,-0.381,3.678,8.521,232.5,2,-0.001,0.00049,0.00003,0.00023
0.37,-0.381,3.678,8.521,247.5,2,-0.0016,0.00055,0.0002,0.00018
0.37,-0.381,3.678,8.521,262.5,2,-0.00237,0.00062,0.0001,0.00016
0.37,-0.381,3.678,8.521,277.5,2,-0.00273,0.00065,0.00028,0.00026
0.37,-0.381,3.678,8.521,292.5,2,-0.00311,0.00078,0.00035,0.00023
0.37,-0.381,3.678,8.521,307.5,2,-0.00605,0.0009,0.00014,0.00026
0.37,-0.381,3.678,8.521,322.5,2,-0.00258,0.00122,0.00009,0.00047
0.37,-0.381,3.678,8.521,337.5,2,-0.00317,0.00204,0.00126,0.00096
0.37,-0.381,3.678,8.521,352.5,2,-0.00019,0.00321,0.00049,0.00181
0.37,-0.469,3.679,8.521,7.5,2,0.00068,0.0053,0.00081,0.00168
0.37,-0.469,3.679,8.521,22.5,2,0.00345,0.00261,0.00081,0.00044
0.37,-0.469,3.679,8.521,37.5,2,0.00422,0.00129,0.00067,0.00076
0.37,-0.469,3.679,8.521,52.5,2,0.00147,0.00078,0.0003,0.00032
0.37,-0.469,3.679,8.521,67.5,2,0.00239,0.0006,0.0002,0.00011
0.37,-0.469,3.679,8.521,82.5,2,0.00236,0.00049,0.0002,0.00029
0.37,-0.469,3.679,8.521,97.5,2,0.00179,0.00043,0.00007,0.00011
0.37,-0.469,3.679,8.521,112.5,2,0.00154,0.00036,0.00004,0.00015
0.37,-0.469,3.679,8.521,127.5,2,0.00073,0.0003,0.00014,0.00006
0.37,-0.469,3.679,8.521,142.5,2,0.0012,0.00031,0.00003,0.00015
0.37,-0.469,3.679,8.521,157.5,2,0.00011,0.00032,0.0001,0.00005
0.37,-0.469,3.679,8.521,172.5,2,0.00048,0.00029,0.00026,0.00004
0.37,-0.469,3.679,8.521,187.5,2,-0.00012,0.00037,0.00004,0.00013
0.37,-0.469,3.679,8.521,202.5,2,-0.00078,0.00034,0.00013,0.00011
0.37,-0.469,3.679,8.521,217.5,2,-0.00102,0.00033,0.00016,0.00011
0.37,-0.469,3.679,8.521,232.5,2,-0.00089,0.00033,0.00013,0.00019
0.37,-0.469,3.679,8.521,247.5,2,-0.00178,0.00037,0.00004,0.00019
0.37,-0.469,3.679,8.521,262.5,2,-0.0016,0.00043,0.00011,0.00026
0.37,-0.469,3.679,8.521,277.5,2,-0.00222,0.00046,0.00034,0.00009
0.37,-0.469,3.679,8.521,292.5,2,-0.00253,0.00058,0.00005,0.00031
0.37,-0.469,3.679,8.521,307.5,2,-0.00254,0.00076,0.00019,0.00016
0.37,-0.469,3.679,8.521,322.5,2,-0.00261,0.00128,0.00026,0.00051
0.37,-0.469,3.679,8.521,337.5,2,-0.00387,0.00265,0.0011,0.00046
0.37,-0.469,3.679,8.521,352.5,2,0.00818,0.00658,0.00158,0.00127
0.369,-0.198,4.532,10.591,7.5,2,0.00117,0.00066,0.00014,0.00008
0.369,-0.198,4.532,10.591,22.5,2,0.00121,0.00068,0.00007,0.00031
0.369,-0.198,4.532,10.591,37.5,2,0.00172,0.00067,0.0003,0.0004
0.369,-0.198,4.532,10.591,52.5,2,0.00215,0.00065,0.00032,0.00035
0.369,-0.198,4.532,10.591,67.5,2,0.00159,0.00064,0.00033,0
0.369,-0.198,4.532,10.591,82.5,2,0.00187,0.00062,0.00011,0.00035
0.369,-0.198,4.532,10.591,97.5,2,0.0008,0.00055,0.00007,0.00041
0.369,-0.198,4.532,10.591,112.5,2,0.00205,0.00055,0.00021,0.00015
0.369,-0.198,4.532,10.591,127.5,2,0.0011,0.00055,0.00004,0.00017
0.369,-0.198,4.532,10.591,142.5,2,0.00176,0.00052,0.00009,0.00027
0.369,-0.198,4.532,10.591,157.5,2,0.00069,0.00053,0.00008,0.00025
0.369,-0.198,4.532,10.591,172.5,2,-0.00027,0.00049,0.00014,0.00022
0.369,-0.198,4.532,10.591,187.5,2,-0.0008,0.00056,0.00032,0.00018
0.369,-0.198,4.532,10.591,202.5,2,-0.00008,0.00057,0.00008,0.00013
0.369,-0.198,4.532,10.591,217.5,2,-0.00029,0.00056,0.00013,0.00017
0.369,-0.198,4.532,10.591,232.5,2,-0.00199,0.0006,0.00037,0.00008
0.369,-0.198,4.532,10.591,247.5,2,-0.00133,0.0006,0.00036,0.00013
0.369,-0.198,4.532,10.591,262.5,2,-0.00154,0.00061,0.00014,0.00016
0.369,-0.198,4.532,10.591,277.5,2,-0.00314,0.00063,0.00007,0.0003
0.369,-0.198,4.532,10.591,292.5,2,-0.00043,0.00066,0.00029,0.00037
0.369,-0.198,4.532,10.591,307.5,2,-0.00219,0.00067,0.00031,0.00023
0.369,-0.198,4.532,10.591,322.5,2,-0.00185,0.0007,0.00027,0.00024
0.369,-0.198,4.532,10.591,337.5,2,-0.00054,0.00074,0.00015,0.00018
0.369,-0.198,4.532,10.591,352.5,2,-0.00071,0.00075,0.00025,0.00008
0.37,-0.26,4.55,10.591,7.5,2,0.00073,0.00082,0.00005,0.00035
0.37,-0.26,4.55,10.591,22.5,2,0.00219,0.00075,0.00024,0.00026
0.37,-0.26,4.55,10.591,37.5,2,0.00103,0.00063,0.00032,0.00011
0.37,-0.26,4.55,10.591,52.5,2,0.0019,0.00059,0.00006,0.00018
0.37,-0.26,4.55,10.591,67.5,2,0.003,0.00057,0.00018,0.00017
0.37,-0.26,4.55,10.591,82.5,2,0.00364,0.00053,0.00013,0.00018
0.37,-0.26,4.55,10.591,97.5,2,0.0021,0.00051,0.00033,0.00006
0.37,-0.26,4.55,10.591,112.5,2,0.00102,0.00048,0.0002,0.00001
0.37,-0.26,4.55,10.591,127.5,2,0.00205,0.00047,0.00012,0.00012
0.37,-0.26,4.55,10.591,142.5,2,0.00113,0.00044,0.00021,0.00012
0.37,-0.26,4.55,10.591,157.5,2,-0.00027,0.00043,0.00016,0.00011
